Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP
CJA,380000.000,1.000,216.000,0.000,0.000,0.012,0.000,0.298,0.000,0.000
CL,422500.000,2.000,353.000,207.000,0.000,0.013,0.005,0.487,0.284,0.000
CM,380000.000,1.000,160.000,0.000,0.000,0.012,0.000,0.221,0.000,0.000
CN,140000.000,1.000,22.000,0.000,0.000,0.004,0.000,0.030,0.000,0.000
CP,675000.000,2.000,414.000,34.000,0.000,0.022,0.005,0.571,0.047,0.000
CSA,675000.000,1.000,348.000,0.000,0.000,0.022,0.000,0.480,0.000,0.000
CSU,1447500.000,2.000,199.000,0.000,0.000,0.048,0.005,0.274,0.000,0.000
CT,170000.000,1.000,93.000,0.000,0.000,0.005,0.000,0.128,0.000,0.000
CTZ,170000.000,1.000,97.000,0.000,0.000,0.005,0.000,0.134,0.000,0.000
CVS,380000.000,1.000,206.000,0.000,0.000,0.012,0.000,0.284,0.000,0.000
DAR,1750000.000,1.000,313.000,0.000,0.000,0.058,0.000,0.432,0.000,0.000
DB,266666.667,3.000,58.000,188.000,106.066,0.008,0.010,0.080,0.258,0.219
DC,140000.000,1.000,127.000,0.000,0.000,0.004,0.000,0.175,0.000,0.000
DCR,160000.000,1.000,362.000,0.000,0.000,0.005,0.000,0.499,0.000,0.000
DF,170000.000,1.000,419.000,0.000,0.000,0.005,0.000,0.578,0.000,0.000
DFH,170000.000,1.000,172.000,0.000,0.000,0.005,0.000,0.237,0.000,0.000
DG,222500.000,4.000,350.000,210.000,63.553,0.007,0.014,0.483,0.288,0.131
DID,170000.000,1.000,405.000,0.000,0.000,0.005,0.000,0.559,0.000,0.000
DIN,170000.000,2.000,294.000,17.000,0.000,0.005,0.005,0.406,0.023,0.000
DKA,365000.000,2.000,283.000,0.000,0.000,0.012,0.005,0.390,0.000,0.000
DKJ,365000.000,2.000,145.000,0.000,0.000,0.012,0.005,0.200,0.000,0.000
DL,140000.000,2.000,38.000,39.000,0.000,0.004,0.005,0.052,0.054,0.000
DMH,380000.000,1.000,573.000,0.000,0.000,0.012,0.000,0.790,0.000,0.000
DP,161666.667,9.000,248.000,285.000,43.755,0.005,0.039,0.342,0.391,0.090
DPM,170000.000,1.000,491.000,0.000,0.000,0.005,0.000,0.677,0.000,0.000
DZ,546666.667,3.000,334.000,124.000,87.681,0.018,0.010,0.461,0.170,0.181
EAK,170000.000,2.000,211.000,106.000,0.000,0.005,0.005,0.291,0.146,0.000
EAS,90000.000,1.000,506.000,0.000,0.000,0.002,0.000,0.698,0.000,0.000
EB,170000.000,1.000,229.000,0.000,0.000,0.005,0.000,0.316,0.000,0.000
EEQ,730000.000,1.000,309.000,0.000,0.000,0.024,0.000,0.426,0.000,0.000
EH,158000.000,5.000,177.000,146.000,36.428,0.005,0.019,0.244,0.201,0.075
EHP,196666.667,3.000,308.000,40.000,12.728,0.006,0.010,0.425,0.055,0.026
EJP,380000.000,1.000,346.000,0.000,0.000,0.012,0.000,0.477,0.000,0.000
EKA,380000.000,1.000,650.000,0.000,0.000,0.012,0.000,0.897,0.000,0.000
EL,296000.000,2.000,122.000,198.000,0.000,0.009,0.005,0.168,0.272,0.000
ELA,240000.000,1.000,344.000,0.000,0.000,0.007,0.000,0.474,0.000,0.000
ELG,365000.000,2.000,67.000,0.000,0.000,0.012,0.005,0.092,0.000,0.000
EM,555000.000,2.000,378.000,102.000,0.000,0.018,0.005,0.521,0.140,0.000
EN,380000.000,1.000,46.000,0.000,0.000,0.012,0.000,0.063,0.000,0.000
ENA,170000.000,1.000,79.000,0.000,0.000,0.005,0.000,0.109,0.000,0.000
EP,380000.000,1.000,323.000,0.000,0.000,0.012,0.000,0.446,0.000,0.000
ERM,365000.000,2.000,285.000,0.000,0.000,0.012,0.005,0.393,0.000,0.000
ES,128000.000,5.000,435.000,242.000,106.488,0.004,0.019,0.600,0.332,0.220
EV,380000.000,1.000,213.000,0.000,0.000,0.012,0.000,0.294,0.000,0.000
EW,350000.000,1.000,641.000,0.000,0.000,0.011,0.000,0.884,0.000,0.000
EZW,365000.000,2.000,233.000,0.000,0.000,0.012,0.005,0.321,0.000,0.000
FAB,145000.000,1.000,552.000,0.000,0.000,0.004,0.000,0.761,0.000,0.000
FAF,196666.667,3.000,322.000,163.000,75.660,0.006,0.010,0.444,0.224,0.156
FAR,380000.000,1.000,4.000,0.000,0.000,0.012,0.000,0.006,0.000,0.000
FB,262500.000,2.000,400.000,64.000,0.000,0.008,0.005,0.552,0.088,0.000
FDA,170000.000,2.000,201.000,118.000,0.000,0.005,0.005,0.277,0.162,0.000
FF,275000.000,2.000,355.000,371.000,0.000,0.009,0.005,0.490,0.510,0.000
FG,153333.333,9.000,17.000,120.000,13.148,0.004,0.039,0.023,0.165,0.027
FGI,170000.000,1.000,202.000,0.000,0.000,0.005,0.000,0.279,0.000,0.000
FGP,380000.000,1.000,466.000,0.000,0.000,0.012,0.000,0.643,0.000,0.000
FN,380000.000,1.000,166.000,0.000,0.000,0.012,0.000,0.229,0.000,0.000
FNK,450000.000,1.000,31.000,0.000,0.000,0.014,0.000,0.043,0.000,0.000
FO,380000.000,1.000,529.000,0.000,0.000,0.012,0.000,0.730,0.000,0.000
FP,240000.000,1.000,437.000,0.000,0.000,0.007,0.000,0.603,0.000,0.000
FR,260000.000,2.000,292.000,149.000,0.000,0.008,0.005,0.403,0.205,0.000
FRW,2850000.000,2.000,613.000,1.000,0.000,0.095,0.005,0.846,0.001,0.000
FSA,170000.000,1.000,200.000,0.000,0.000,0.005,0.000,0.276,0.000,0.000
FT,140000.000,1.000,36.000,0.000,0.000,0.004,0.000,0.050,0.000,0.000
FY,170000.000,1.000,93.000,0.000,0.000,0.005,0.000,0.128,0.000,0.000
GBA,140000.000,1.000,27.000,0.000,0.000,0.004,0.000,0.037,0.000,0.000
GD,380000.000,1.000,148.000,0.000,0.000,0.012,0.000,0.204,0.000,0.000
GG,365000.000,2.000,33.000,0.000,0.000,0.012,0.005,0.046,0.000,0.000
GMN,155000.000,2.000,228.000,0.000,0.000,0.005,0.005,0.314,0.000,0.000
GRN,1262000.000,5.000,215.000,13.000,2.754,0.042,0.019,0.297,0.018,0.006
GSAI,170000.000,1.000,200.000,0.000,0.000,0.005,0.000,0.276,0.000,0.000
GT,380000.000,1.000,453.000,0.000,0.000,0.012,0.000,0.625,0.000,0.000
GTZ,445000.000,1.000,451.000,0.000,0.000,0.014,0.000,0.622,0.000,0.000
GZ,1081000.000,3.000,109.000,213.000,130.815,0.036,0.010,0.150,0.293,0.270
HAK,1740000.000,1.000,711.000,0.000,0.000,0.058,0.000,0.981,0.000,0.000
HAN,170000.000,1.000,288.000,0.000,0.000,0.005,0.000,0.397,0.000,0.000
HAR,175000.000,2.000,159.000,0.000,0.000,0.005,0.005,0.219,0.000,0.000
HB,170000.000,3.000,92.000,132.000,73.539,0.005,0.010,0.127,0.181,0.152
HD,275000.000,2.000,340.000,10.000,0.000,0.009,0.005,0.469,0.014,0.000
HDH,260000.000,1.000,351.000,0.000,0.000,0.008,0.000,0.484,0.000,0.000
HDQ,380000.000,1.000,580.000,0.000,0.000,0.012,0.000,0.800,0.000,0.000
HFB,170000.000,1.000,639.000,0.000,0.000,0.005,0.000,0.881,0.000,0.000
HG,300333.333,6.000,121.000,77.000,18.501,0.009,0.024,0.167,0.106,0.038
HGE,155000.000,2.000,186.000,0.000,0.000,0.005,0.005,0.257,0.000,0.000
HH,215000.000,2.000,408.000,16.000,0.000,0.007,0.005,0.563,0.022,0.000
HHR,180000.000,1.000,340.000,0.000,0.000,0.005,0.000,0.469,0.000,0.000
HI,948333.333,3.000,313.000,249.000,13.435,0.031,0.010,0.432,0.342,0.028
HK,150000.000,3.000,2.000,54.000,25.456,0.004,0.010,0.003,0.074,0.053
HNF,190000.000,1.000,11.000,0.000,0.000,0.006,0.000,0.015,0.000,0.000
HNI,220000.000,1.000,113.000,0.000,0.000,0.007,0.000,0.156,0.000,0.000
HP,470750.000,4.000,113.000,214.000,68.879,0.015,0.014,0.156,0.294,0.142
HRK,170000.000,1.000,150.000,0.000,0.000,0.005,0.000,0.207,0.000,0.000
