Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP,Cluster
MA,453094.595,74.000,18.000,710.000,10.685,0.015,0.353,0.025,0.975,0.022,0
MAA,324375.000,8.000,64.000,517.000,63.051,0.010,0.034,0.088,0.710,0.130,0
MAF,300000.000,6.000,206.000,432.000,84.127,0.009,0.024,0.284,0.593,0.174,0
MAH,343333.333,6.000,22.000,492.000,105.082,0.011,0.024,0.030,0.676,0.217,0
MB,160952.381,21.000,3.000,574.000,86.794,0.005,0.097,0.004,0.788,0.179,0
MD,744166.667,6.000,24.000,695.000,79.866,0.024,0.024,0.033,0.955,0.165,0
MFA,527500.000,6.000,50.000,536.000,64.169,0.017,0.024,0.069,0.736,0.133,0
MG,388750.000,4.000,56.000,645.000,171.823,0.012,0.014,0.077,0.886,0.355,0
MH,451750.000,12.000,238.000,456.000,44.635,0.014,0.053,0.328,0.626,0.092,0
MHA,273333.333,6.000,173.000,342.000,84.088,0.008,0.024,0.239,0.470,0.174,0
MI,321250.000,4.000,73.000,530.000,147.358,0.010,0.014,0.101,0.728,0.305,0
MIA,265000.000,4.000,26.000,509.000,244.999,0.008,0.014,0.036,0.699,0.507,0
MK,295000.000,7.000,39.000,642.000,156.516,0.009,0.029,0.054,0.882,0.324,0
ML,221666.667,6.000,12.000,592.000,126.338,0.007,0.024,0.017,0.813,0.261,0
MN,461666.667,6.000,93.000,597.000,79.896,0.015,0.024,0.128,0.820,0.165,0
MNM,222500.000,4.000,103.000,616.000,181.539,0.007,0.014,0.142,0.846,0.375,0
MP,180000.000,2.000,64.000,589.000,0.000,0.005,0.005,0.088,0.809,0.000,0
MR,260845.070,71.000,7.000,718.000,17.311,0.008,0.338,0.010,0.986,0.036,0
MS,198846.154,26.000,23.000,685.000,21.552,0.006,0.121,0.032,0.941,0.045,0
MZ,192037.736,106.000,2.000,726.000,8.976,0.006,0.507,0.003,0.997,0.019,0
NA,194756.098,41.000,0.000,716.000,28.109,0.006,0.193,0.000,0.984,0.058,0
NF,182857.143,7.000,19.000,455.000,96.824,0.005,0.029,0.026,0.625,0.200,0
NJ,140000.000,2.000,26.000,272.000,0.000,0.004,0.005,0.036,0.374,0.000,0
NK,631538.462,13.000,54.000,654.000,67.089,0.020,0.058,0.074,0.898,0.139,0
NL,310000.000,3.000,26.000,392.000,277.186,0.010,0.010,0.036,0.538,0.573,0
NR,104222.222,9.000,63.000,331.000,50.777,0.003,0.039,0.087,0.455,0.105,0
NS,303846.154,26.000,0.000,724.000,54.166,0.010,0.121,0.000,0.995,0.112,0
NT,138000.000,3.000,61.000,280.000,82.024,0.004,0.010,0.084,0.385,0.170,0
NY,245000.000,2.000,14.000,462.000,0.000,0.008,0.005,0.019,0.635,0.000,0
NZ,371666.667,6.000,52.000,407.000,160.970,0.012,0.024,0.072,0.559,0.333,0
PA,345000.000,5.000,96.000,483.000,87.869,0.011,0.019,0.132,0.663,0.182,0
QH,160000.000,3.000,93.000,614.000,420.021,0.005,0.010,0.128,0.843,0.868,0
RA,493355.932,59.000,50.000,667.000,12.731,0.016,0.280,0.069,0.916,0.026,0
RD,286250.000,4.000,11.000,581.000,306.865,0.009,0.014,0.015,0.798,0.634,0
RF,212000.000,5.000,67.000,403.000,106.959,0.006,0.019,0.092,0.554,0.221,0
RH,406250.000,8.000,11.000,685.000,187.734,0.013,0.034,0.015,0.941,0.388,0
RK,643900.000,10.000,11.000,666.000,38.549,0.021,0.043,0.015,0.915,0.080,0
RM,411875.000,8.000,42.000,640.000,153.416,0.013,0.034,0.058,0.879,0.317,0
RN,606034.483,29.000,18.000,621.000,20.904,0.020,0.135,0.025,0.853,0.043,0
RNA,402666.667,15.000,11.000,446.000,32.755,0.013,0.068,0.015,0.613,0.068,0
RP,235833.333,6.000,169.000,486.000,22.627,0.007,0.024,0.233,0.668,0.047,0
RR,525074.074,27.000,59.000,655.000,21.600,0.017,0.126,0.081,0.900,0.045,0
RS,267125.000,16.000,60.000,631.000,56.628,0.008,0.072,0.083,0.867,0.117,0
RZ,330000.000,3.000,16.000,332.000,131.522,0.010,0.010,0.022,0.456,0.272,0
RZA,143333.333,3.000,33.000,307.000,217.082,0.004,0.010,0.046,0.422,0.449,0
SA,1196000.000,39.000,0.000,712.000,20.072,0.039,0.184,0.000,0.978,0.042,0
SB,205000.000,4.000,222.000,347.000,176.647,0.006,0.014,0.306,0.477,0.365,0
SD,350000.000,4.000,52.000,371.000,134.675,0.011,0.014,0.072,0.510,0.278,0
SK,529705.882,17.000,1.000,709.000,73.750,0.017,0.077,0.001,0.974,0.152,0
SL,684615.385,13.000,53.000,313.000,32.573,0.022,0.058,0.073,0.430,0.067,0
SM,269000.000,15.000,40.000,649.000,60.248,0.008,0.068,0.055,0.891,0.125,0
