Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
EB,0,0,0,0,0,0,1,0,0,5
EC,0,0,0,0,0,0,1,0,0,0
EEQ,0,0,0,0,0,1,0,0,0,4
EH,0,0,0,0,0,0,1,0,0,5
EHP,0,0,0,0,0,0,1,0,0,4
EJP,0,0,0,0,0,1,0,0,0,4
EK,0,0,0,1,0,1,0,0,0,1
EKA,0,0,0,0,0,1,0,0,0,4
EL,0,0,0,1,0,1,0,0,0,5
ELA,0,0,0,0,0,0,1,0,0,4
ELG,0,1,0,0,0,1,0,0,0,5
EM,0,0,0,0,0,1,0,0,0,4
EN,0,0,0,0,0,1,0,0,0,5
ENA,0,0,0,0,0,0,1,0,0,5
EP,0,0,0,0,0,1,0,0,0,4
ER,0,1,0,0,0,1,1,0,0,3
ERM,0,1,0,0,0,1,0,0,0,5
ES,0,0,1,0,0,0,1,0,0,4
EV,0,0,0,0,0,1,0,0,0,5
EW,0,0,0,0,1,0,0,0,0,4
EZ,0,0,1,0,0,0,1,0,0,0
EZW,0,1,0,0,0,1,0,0,0,5
FA,0,0,1,1,0,1,1,0,0,0
FAB,0,0,0,0,0,1,0,0,0,4
FAF,0,0,0,0,0,0,1,0,0,4
FAR,0,0,0,0,0,1,0,0,0,5
FB,0,0,0,0,0,1,0,0,0,4
FD,0,0,0,0,0,0,1,0,0,3
FDA,0,0,0,0,0,0,1,0,0,5
FF,0,0,0,0,0,1,1,0,0,4
FG,0,0,1,0,0,0,1,0,0,5
FGI,0,0,0,0,0,0,1,0,0,5
FGP,0,0,0,0,0,1,0,0,0,4
FH,0,1,0,0,0,1,1,0,0,3
FM,0,0,1,0,1,1,1,0,0,3
FN,0,0,0,0,0,1,0,0,0,5
FNK,0,0,0,0,0,1,0,0,0,5
FO,0,0,0,0,0,1,0,0,0,4
FP,0,0,0,0,0,0,1,0,0,4
FQ,0,1,0,1,0,1,1,0,0,1
FR,0,0,0,1,0,1,0,0,0,4
FRW,0,0,0,0,0,1,0,0,0,4
FS,0,0,0,0,0,0,1,0,0,0
FSA,0,0,0,0,0,0,1,0,0,5
FT,0,0,0,1,0,0,0,0,0,5
FY,0,0,0,0,0,0,1,0,0,5
FZ,0,0,1,0,0,1,1,0,0,1
GA,0,0,0,1,0,1,1,0,0,3
GBA,0,0,0,1,0,0,0,0,0,5
GD,0,0,0,0,0,1,0,0,0,5
GF,0,0,0,0,0,1,0,0,0,3
GG,0,1,0,0,0,1,0,0,0,5
GM,0,0,1,0,0,0,1,0,0,3
GMN,0,0,0,1,0,0,1,0,0,5
GR,0,0,0,0,0,1,1,0,0,0
GRN,0,1,0,0,0,1,0,0,0,5
GS,0,0,0,1,0,0,1,0,0,3
GSAI,0,0,0,0,1,0,0,0,0,5
GT,0,0,0,0,0,1,0,0,0,4
GTZ,0,0,0,0,0,1,0,0,0,4
GZ,0,0,0,1,0,1,1,0,0,5
HA,0,0,1,1,0,1,1,0,0,0
HAK,0,0,0,0,0,1,0,0,0,4
HAN,0,0,0,0,0,0,1,0,0,4
HAR,0,0,0,1,0,0,1,0,0,5
HB,1,0,0,0,0,0,1,0,0,5
HD,0,0,0,1,0,1,0,0,0,4
HDH,0,0,0,0,0,0,1,0,0,4
HDQ,0,0,0,0,0,1,0,0,0,4
HF,0,0,0,0,0,1,1,0,0,3
HFB,0,0,0,0,0,0,1,0,0,4
HG,0,1,1,1,0,1,1,0,0,5
HGE,0,0,0,1,0,0,1,0,0,5
HH,0,0,0,0,1,1,0,0,0,4
HHR,0,0,0,0,0,0,1,0,0,4
HI,0,0,0,0,0,1,1,0,0,4
HK,0,0,0,1,0,0,1,0,0,5
HM,0,0,1,1,1,1,1,0,0,0
HNF,0,0,0,1,0,0,0,0,0,5
HNI,1,0,0,0,0,0,0,0,0,5
HP,0,0,0,1,0,0,1,0,0,5
HR,0,1,0,0,0,1,0,0,0,1
HRK,0,0,0,0,0,0,1,0,0,5
HS,0,0,0,1,0,1,1,0,0,0
HSB,0,0,0,0,0,0,1,0,0,5
HU,0,0,0,1,0,0,0,0,0,5
HV,0,0,0,0,0,1,0,0,0,4
HZI,0,0,0,1,0,0,0,0,0,5
IA,0,0,1,0,0,1,1,1,0,3
IAP,0,0,0,0,0,0,0,1,0,5
IAR,0,0,0,0,0,0,1,0,0,5
IAS,0,0,0,0,0,1,0,0,0,4
ID,0,0,0,1,0,1,0,0,0,3
IF,0,0,0,0,0,0,1,0,0,4
IG,0,0,0,0,0,1,0,0,0,4
II,0,0,0,0,0,0,1,0,0,4
IKB,0,0,0,0,0,1,0,0,0,4
IM,0,0,0,1,0,1,1,0,0,0
IMH,0,0,1,0,0,0,1,0,0,4
IR,0,0,1,1,0,0,0,0,0,5
IRM,0,0,0,0,0,0,1,0,0,5
IS,0,0,0,0,0,1,1,0,0,4
IT,0,1,0,0,0,1,0,0,0,5
IX,0,0,0,0,0,0,1,0,0,5
JA,0,0,0,0,0,1,1,0,0,5
JD,0,0,0,0,0,0,1,0,0,4
JE,0,0,0,0,0,0,1,0,0,4
JES,0,0,0,0,0,0,1,0,0,5
JF,0,0,0,0,0,1,1,0,0,4
JG,0,0,0,0,0,1,0,0,0,4
JK,0,0,1,0,0,0,1,0,0,5
JL,0,0,1,0,0,0,0,0,0,5
JN,0,1,0,0,0,1,1,0,0,5
JR,0,0,0,0,0,1,0,0,0,4
JW,0,1,0,0,0,1,0,0,0,5
KA,0,0,1,1,0,1,1,0,0,2
KAA,0,0,0,0,0,0,1,0,0,5
KAB,0,0,0,0,0,0,1,0,0,5
KAH,0,0,0,0,0,0,1,0,0,4
KAK,0,0,0,0,0,0,1,0,0,5
KAP,0,0,0,0,0,1,0,0,0,5
KAW,0,1,0,0,0,1,0,0,0,5
KD,0,1,0,0,0,1,0,0,0,5
KF,0,0,0,1,0,0,0,0,0,5
KG,0,0,0,1,0,1,0,0,0,0
KH,0,1,1,1,0,1,1,0,0,5
KI,0,0,0,0,0,1,0,0,0,5
KK,0,0,0,0,0,1,1,0,0,2
KL,0,0,1,0,0,0,0,0,0,5
KLA,0,0,1,0,0,0,1,0,0,5
KM,0,0,1,1,0,1,1,0,0,0
KMA,0,0,0,1,0,0,1,0,0,5
KMN,0,0,0,0,0,0,1,0,0,4
KMS,0,0,0,0,0,1,1,0,0,3
KN,0,0,1,0,0,1,1,0,0,5
KNP,0,0,0,0,0,0,1,0,0,5
KP,0,1,0,0,0,1,0,0,0,5
KR,0,0,0,0,0,1,1,0,0,1
KRT,0,0,0,0,0,1,0,0,0,5
KS,0,0,0,0,0,1,1,0,0,4
KSB,0,0,0,0,0,0,1,0,0,5
KSN,0,0,0,0,0,0,1,0,0,4
KT,0,0,1,0,0,0,1,0,0,1
