NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
401;NF;182857.143;7;19;455;96.824;0.005;0.029;0.026;0.625;0.2
402;NGC;365000;2;166;0;0;0.012;0.005;0.229;0;0
403;NGL;170000;1;437;0;0;0.005;0;0.603;0;0
404;NH;140000;1;24;0;0;0.004;0;0.033;0;0
405;NJ;140000;2;26;272;0;0.004;0.005;0.036;0.374;0
406;NK;631538.462;13;54;654;67.089;0.02;0.058;0.074;0.898;0.139
407;NL;310000;3;26;392;277.186;0.01;0.01;0.036;0.538;0.573
408;NM;146000;5;10;161;41.484;0.004;0.019;0.014;0.221;0.086
409;NMA;140000;1;95;0;0;0.004;0;0.131;0;0
410;NMAA;133333.333;3;43;4;2.828;0.004;0.01;0.059;0.005;0.006
411;NMF;400000;1;694;0;0;0.013;0;0.957;0;0
412;NN;274000;3;226;133;94.045;0.009;0.01;0.312;0.183;0.194
413;NNJ;140000;1;34;0;0;0.004;0;0.047;0;0
414;NR;104222.222;9;63;331;50.777;0.003;0.039;0.087;0.455;0.105
415;NS;303846.154;26;0;724;54.166;0.01;0.121;0;0.995;0.112
416;NSA;248000;5;212;143;36.151;0.008;0.019;0.292;0.196;0.075
417;NSF;90000;1;333;0;0;0.002;0;0.459;0;0
418;NSW;170000;1;146;0;0;0.005;0;0.201;0;0
419;NT;138000;3;61;280;82.024;0.004;0.01;0.084;0.385;0.17
420;NTB;170000;2;63;39;0;0.005;0.005;0.087;0.054;0
421;NY;245000;2;14;462;0;0.008;0.005;0.019;0.635;0
422;NZ;371666.667;6;52;407;160.97;0.012;0.024;0.072;0.559;0.333
423;NZA;170000;1;295;0;0;0.005;0;0.407;0;0
424;NZR;795000;1;228;0;0;0.026;0;0.314;0;0
425;OA;170000;1;480;0;0;0.005;0;0.662;0;0
426;OG;730000;1;1;0;0;0.024;0;0.001;0;0
427;OH;275000;2;92;24;0;0.009;0.005;0.127;0.033;0
428;OSA;203750;4;418;90;18.682;0.006;0.014;0.577;0.124;0.039
429;OSAA;380000;1;514;0;0;0.012;0;0.709;0;0
430;PA;345000;5;96;483;87.869;0.011;0.019;0.132;0.663;0.182
431;PAS;370000;2;268;0;0;0.012;0.005;0.37;0;0
432;PK;465000;2;208;0;0;0.015;0.005;0.287;0;0
433;PS;380000;1;253;0;0;0.012;0;0.349;0;0
434;Q;380000;1;613;0;0;0.012;0;0.846;0;0
435;QA;740000;3;464;182;14.142;0.024;0.01;0.64;0.25;0.029
436;QAY;170000;1;236;0;0;0.005;0;0.326;0;0
437;QE;380000;1;123;0;0;0.012;0;0.17;0;0
438;QF;145000;1;537;0;0;0.004;0;0.741;0;0
439;QH;160000;3;93;614;420.021;0.005;0.01;0.128;0.843;0.868
440;QK;235000;2;337;0;0;0.007;0.005;0.465;0;0
441;QN;190000;1;62;0;0;0.006;0;0.086;0;0
442;QSM;170000;1;321;0;0;0.005;0;0.443;0;0
443;RA;493355.932;59;50;667;12.731;0.016;0.28;0.069;0.916;0.026
444;RAA;7400000;2;114;90;0;0.247;0.005;0.157;0.124;0
445;RAK;675000;1;195;0;0;0.022;0;0.269;0;0
446;RAM;170000;1;236;0;0;0.005;0;0.326;0;0
447;RAR;170000;1;192;0;0;0.005;0;0.265;0;0
448;RAS;450000;2;178;130;0;0.014;0.005;0.246;0.179;0
449;RB;235000;2;570;95;0;0.007;0.005;0.786;0.13;0
450;RBA;100000;1;173;0;0;0.003;0;0.239;0;0
451;RC;180000;1;419;0;0;0.005;0;0.578;0;0
452;RD;286250;4;11;581;306.865;0.009;0.014;0.015;0.798;0.634
453;RDK;380000;1;183;0;0;0.012;0;0.252;0;0
454;RE;953333.333;3;323;79;53.033;0.031;0.01;0.446;0.109;0.11
455;RF;212000;5;67;403;106.959;0.006;0.019;0.092;0.554;0.221
456;RFA;380000;1;127;0;0;0.012;0;0.175;0;0
457;RFB;170000;1;100;0;0;0.005;0;0.138;0;0
458;RFR;180000;1;349;0;0;0.005;0;0.481;0;0
459;RG;380000;1;466;0;0;0.012;0;0.643;0;0
460;RH;406250;8;11;685;187.734;0.013;0.034;0.015;0.941;0.388
461;RHR;380000;1;141;0;0;0.012;0;0.194;0;0
462;RI;395000;2;192;235;0;0.013;0.005;0.265;0.323;0
463;RK;643900;10;11;666;38.549;0.021;0.043;0.015;0.915;0.08
464;RKH;380000;1;193;0;0;0.012;0;0.266;0;0
465;RL;275000;2;518;53;0;0.009;0.005;0.714;0.073;0
466;RM;411875;8;42;640;153.416;0.013;0.034;0.058;0.879;0.317
467;RMA;170000;1;369;0;0;0.005;0;0.509;0;0
468;RMS;685000;1;125;0;0;0.022;0;0.172;0;0
469;RN;606034.483;29;18;621;20.904;0.02;0.135;0.025;0.853;0.043
470;RNA;402666.667;15;11;446;32.755;0.013;0.068;0.015;0.613;0.068
471;RP;235833.333;6;169;486;22.627;0.007;0.024;0.233;0.668;0.047
472;RPS;340000;1;187;0;0;0.011;0;0.258;0;0
473;RR;525074.074;27;59;655;21.6;0.017;0.126;0.081;0.9;0.045
474;RRA;990000;2;235;126;0;0.032;0.005;0.324;0.173;0
475;RS;267125;16;60;631;56.628;0.008;0.072;0.083;0.867;0.117
476;RSAA;180000;1;317;0;0;0.005;0;0.437;0;0
477;RSK;170000;1;250;0;0;0.005;0;0.345;0;0
478;RSR;300000;2;131;0;0;0.009;0.005;0.181;0;0
479;RT;170000;1;93;0;0;0.005;0;0.128;0;0
480;RY;380000;1;79;0;0;0.012;0;0.109;0;0
481;RZ;330000;3;16;332;131.522;0.01;0.01;0.022;0.456;0.272
482;RZA;143333.333;3;33;307;217.082;0.004;0.01;0.046;0.422;0.449
483;SA;1196000;39;0;712;20.072;0.039;0.184;0;0.978;0.042
484;SAA;170000;2;204;259;0;0.005;0.005;0.281;0.356;0
485;SAF;230000;2;99;266;0;0.007;0.005;0.137;0.365;0
486;SAI;140000;1;75;0;0;0.004;0;0.103;0;0
487;SAM;170000;1;200;0;0;0.005;0;0.276;0;0
488;SAN;120000;2;96;159;0;0.003;0.005;0.132;0.218;0
489;SAR;380000;1;573;0;0;0.012;0;0.79;0;0
490;SAS;140000;1;67;0;0;0.004;0;0.092;0;0
491;SB;205000;4;222;347;176.647;0.006;0.014;0.306;0.477;0.365
492;SC;220000;1;188;0;0;0.007;0;0.259;0;0
493;SD;350000;4;52;371;134.675;0.011;0.014;0.072;0.51;0.278
494;SDH;12960000;1;263;0;0;0.433;0;0.363;0;0
495;SEH;380000;1;25;0;0;0.012;0;0.034;0;0
496;SF;310000;3;434;235;122.329;0.01;0.01;0.599;0.323;0.253
497;SG;170000;1;256;0;0;0.005;0;0.353;0;0
498;SGD;1472500;2;108;173;0;0.049;0.005;0.149;0.238;0
499;SGVE;170000;1;257;0;0;0.005;0;0.354;0;0
500;SH;170000;4;311;230;72.831;0.005;0.014;0.429;0.316;0.151
501;SHA;170000;1;197;0;0;0.005;0;0.272;0;0
502;SJ;130000;2;58;0;0;0.004;0.005;0.08;0;0
503;SK;529705.882;17;1;709;73.75;0.017;0.077;0.001;0.974;0.152
504;SKF;1225000;1;279;0;0;0.04;0;0.385;0;0
505;SL;684615.385;13;53;313;32.573;0.022;0.058;0.073;0.43;0.067
506;SM;269000;15;40;649;60.248;0.008;0.068;0.055;0.891;0.125
507;SMA;1225000;1;295;0;0;0.04;0;0.407;0;0
508;SN;280909.091;44;3;716;57.112;0.009;0.208;0.004;0.984;0.118
509;SNA;380000;1;194;0;0;0.012;0;0.268;0;0
510;SNM;296250;4;308;256;121.039;0.009;0.014;0.425;0.352;0.25
511;SO;380000;1;573;0;0;0.012;0;0.79;0;0
512;SP;170000;1;578;0;0;0.005;0;0.797;0;0
513;SQA;130000;2;176;0;0;0.004;0.005;0.243;0;0
514;SR;245500;10;116;612;233.353;0.008;0.043;0.16;0.841;0.482
515;SS;1308000;5;121;549;34.884;0.043;0.019;0.167;0.754;0.072
516;ST;816666.667;3;233;229;88.388;0.027;0.01;0.321;0.315;0.183
517;SUB;290000;1;366;0;0;0.009;0;0.505;0;0
518;SZ;208333.333;6;120;475;127.157;0.006;0.024;0.166;0.652;0.263
519;SZD;140000;1;202;0;0;0.004;0;0.279;0;0
520;TA;337857.143;7;488;151;28.944;0.011;0.029;0.673;0.207;0.06
521;TAS;730000;1;382;0;0;0.024;0;0.527;0;0
522;TBTD;90000;1;279;0;0;0.002;0;0.385;0;0
523;TD;122000;8;280;429;82.698;0.003;0.034;0.386;0.589;0.171
524;TE;380000;1;13;0;0;0.012;0;0.018;0;0
525;TH;1502500;2;688;6;0;0.05;0.005;0.949;0.008;0
526;TKDH;7400000;2;459;45;0;0.247;0.005;0.633;0.062;0
527;TKI;20000;1;41;0;0;0;0;0.057;0;0
528;TKIC;29880000;1;18;0;0;1;0;0.025;0;0
529;TN;380000;3;45;511;204.354;0.012;0.01;0.062;0.702;0.423
530;TT;170000;1;519;0;0;0.005;0;0.716;0;0
531;TU;213333.333;3;128;9;4.95;0.006;0.01;0.177;0.012;0.01
532;UA;306666.667;3;628;39;27.577;0.01;0.01;0.866;0.054;0.057
533;UAH;246666.667;3;53;18;12.728;0.008;0.01;0.073;0.025;0.026
534;UF;140000;1;248;0;0;0.004;0;0.342;0;0
535;UGN;380000;1;129;0;0;0.012;0;0.178;0;0
536;UK;140000;1;121;0;0;0.004;0;0.167;0;0
537;UM;140000;3;116;118;16.971;0.004;0.01;0.16;0.162;0.035
538;UN;730000;1;383;0;0;0.024;0;0.528;0;0
539;UNH;365000;2;102;0;0;0.012;0.005;0.141;0;0
540;VC;380000;1;725;0;0;0.012;0;1;0;0
541;VE;405625;8;89;564;109.052;0.013;0.034;0.123;0.775;0.225
542;VET;170000;1;326;0;0;0.005;0;0.45;0;0
543;VM;380000;1;582;0;0;0.012;0;0.803;0;0
544;VS;555000;2;329;203;0;0.018;0.005;0.454;0.279;0
545;WA;275000;2;649;41;0;0.009;0.005;0.895;0.056;0
546;YA;560625;8;39;554;78.044;0.018;0.034;0.054;0.761;0.161
547;YB;380000;1;8;0;0;0.012;0;0.011;0;0
548;YH;910000;3;329;333;22.51;0.03;0.01;0.454;0.457;0.047
549;YM;408333.333;6;159;189;152.63;0.013;0.024;0.219;0.26;0.316
550;YMQ;170000;1;493;0;0;0.005;0;0.68;0;0
551;YP;170000;1;149;0;0;0.005;0;0.206;0;0
552;YS;227500;4;38;288;152.63;0.007;0.014;0.052;0.396;0.316
553;YZ;220000;3;86;27;17.678;0.007;0.01;0.119;0.037;0.037
554;ZA;366950;20;108;527;28.9;0.012;0.092;0.149;0.724;0.06
555;ZAAG;170000;1;205;0;0;0.005;0;0.283;0;0
556;ZAFP;170000;1;305;0;0;0.005;0;0.421;0;0
557;ZAH;140000;2;9;80;0;0.004;0.005;0.012;0.11;0
558;ZAM;722500;2;362;112;0;0.024;0.005;0.499;0.154;0
559;ZB;365000;2;204;0;0;0.012;0.005;0.281;0;0
560;ZC;365000;2;278;0;0;0.012;0.005;0.383;0;0
561;ZD;144500;4;141;493;96.671;0.004;0.014;0.194;0.677;0.2
562;ZDR;170000;1;278;0;0;0.005;0;0.383;0;0
563;ZH;667142.857;7;42;682;67.893;0.022;0.029;0.058;0.937;0.14
564;ZI;380000;1;522;0;0;0.012;0;0.72;0;0
565;ZK;285000;6;236;403;67.281;0.009;0.024;0.326;0.554;0.139
566;ZM;338333.333;6;108;338;127.823;0.011;0.024;0.149;0.464;0.264
567;ZN;207500;4;121;574;329.669;0.006;0.014;0.167;0.788;0.682
568;ZP;380000;1;122;0;0;0.012;0;0.168;0;0
569;ZR;486666.667;3;203;182;128.693;0.016;0.01;0.28;0.25;0.266
570;ZS;208000;2;184;139;0;0.006;0.005;0.254;0.191;0
571;ZZ;200714.286;7;444;97;12.368;0.006;0.029;0.612;0.133;0.026
