NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
91;CC;100000;1;62;0;0;0.003;0;0.086;0;0
92;CH;687500;2;369;16;0;0.022;0.005;0.509;0.022;0
93;CJ;675000;2;401;40;0;0.022;0.005;0.553;0.055;0
94;CJA;380000;1;216;0;0;0.012;0;0.298;0;0
95;CL;422500;2;353;207;0;0.013;0.005;0.487;0.284;0
96;CM;380000;1;160;0;0;0.012;0;0.221;0;0
97;CN;140000;1;22;0;0;0.004;0;0.03;0;0
98;CP;675000;2;414;34;0;0.022;0.005;0.571;0.047;0
99;CS;164000;5;96;499;153.841;0.005;0.019;0.132;0.685;0.318
100;CSA;675000;1;348;0;0;0.022;0;0.48;0;0
101;CSU;1447500;2;199;0;0;0.048;0.005;0.274;0;0
102;CT;170000;1;93;0;0;0.005;0;0.128;0;0
103;CTZ;170000;1;97;0;0;0.005;0;0.134;0;0
104;CVS;380000;1;206;0;0;0.012;0;0.284;0;0
105;CZ;884000;5;75;646;0;0.029;0.019;0.103;0.887;0
106;DA;869000;5;80;501;149.174;0.028;0.019;0.11;0.688;0.308
107;DAR;1750000;1;313;0;0;0.058;0;0.432;0;0
108;DB;266666.667;3;58;188;106.066;0.008;0.01;0.08;0.258;0.219
109;DC;140000;1;127;0;0;0.004;0;0.175;0;0
110;DCR;160000;1;362;0;0;0.005;0;0.499;0;0
111;DD;671000;5;137;314;59.489;0.022;0.019;0.189;0.431;0.123
112;DF;170000;1;419;0;0;0.005;0;0.578;0;0
113;DFH;170000;1;172;0;0;0.005;0;0.237;0;0
114;DG;222500;4;350;210;63.553;0.007;0.014;0.483;0.288;0.131
115;DH;1992500;8;58;670;74.634;0.066;0.034;0.08;0.92;0.154
116;DI;176000;10;183;501;76.492;0.005;0.043;0.252;0.688;0.158
117;DID;170000;1;405;0;0;0.005;0;0.559;0;0
118;DIN;170000;2;294;17;0;0.005;0.005;0.406;0.023;0
119;DK;183750;4;28;542;175.933;0.005;0.014;0.039;0.745;0.364
120;DKA;365000;2;283;0;0;0.012;0.005;0.39;0;0
121;DKJ;365000;2;145;0;0;0.012;0.005;0.2;0;0
122;DL;140000;2;38;39;0;0.004;0.005;0.052;0.054;0
123;DM;505000;4;40;688;197.414;0.016;0.014;0.055;0.945;0.408
124;DMH;380000;1;573;0;0;0.012;0;0.79;0;0
125;DP;161666.667;9;248;285;43.755;0.005;0.039;0.342;0.391;0.09
126;DPM;170000;1;491;0;0;0.005;0;0.677;0;0
127;DR;396666.667;3;147;515;55.5;0.013;0.01;0.203;0.707;0.115
128;DS;407500;4;61;318;130.088;0.013;0.014;0.084;0.437;0.269
129;DZ;546666.667;3;334;124;87.681;0.018;0.01;0.461;0.17;0.181
130;EA;180272.727;22;5;681;32.349;0.005;0.101;0.007;0.935;0.067
131;EAK;170000;2;211;106;0;0.005;0.005;0.291;0.146;0
132;EAS;90000;1;506;0;0;0.002;0;0.698;0;0
133;EB;170000;1;229;0;0;0.005;0;0.316;0;0
134;EC;170000;12;23;539;57.477;0.005;0.053;0.032;0.74;0.119
135;EEQ;730000;1;309;0;0;0.024;0;0.426;0;0
136;EH;158000;5;177;146;36.428;0.005;0.019;0.244;0.201;0.075
137;EHP;196666.667;3;308;40;12.728;0.006;0.01;0.425;0.055;0.026
138;EJP;380000;1;346;0;0;0.012;0;0.477;0;0
139;EK;351666.667;3;14;698;483.661;0.011;0.01;0.019;0.959;1
