NO,Row Labels, M ,F,R,L,P,NM,NF,NR,NL,NP
59,ARI, Rp730.000,00 ,1,320,0,0,00,0,024,0,000,0,441,0,000,0,000
60,ARK, Rp170.000,00 ,1,9,0,0,00,0,005,0,000,0,012,0,000,0,000
61,AS, Rp289.254,72 ,106,3,721,7,90,0,009,0,507,0,004,0,990,0,016
62,ASA, Rp195.510,20 ,49,144,577,33,60,0,006,0,232,0,199,0,793,0,069
63,ASH, Rp511.000,00 ,5,324,237,70,45,0,016,0,019,0,447,0,326,0,146
64,ASMA, Rp200.000,00 ,2,289,27,0,00,0,006,0,005,0,399,0,037,0,000
65,ASN, Rp880.000,00 ,1,326,0,0,00,0,029,0,000,0,450,0,000,0,000
66,ASR, Rp370.000,00 ,3,142,2,1,41,0,012,0,010,0,196,0,003,0,003
67,AT, Rp325.967,74 ,62,0,728,38,59,0,010,0,295,0,000,1,000,0,080
68,ATM, Rp1.800.000,00 ,1,200,0,0,00,0,060,0,000,0,276,0,000,0,000
69,ATS, Rp365.000,00 ,2,238,0,0,00,0,012,0,005,0,328,0,000,0,000
70,AU, Rp380.000,00 ,1,541,0,0,00,0,012,0,000,0,746,0,000,0,000
71,AV, Rp726.000,00 ,5,152,333,93,19,0,024,0,019,0,210,0,457,0,193
72,AY, Rp235.000,00 ,2,128,1,0,00,0,007,0,005,0,177,0,001,0,000
73,AZ, Rp306.851,85 ,27,21,696,31,19,0,010,0,126,0,029,0,956,0,064
74,AZY, Rp1.315.000,00 ,1,338,0,0,00,0,043,0,000,0,466,0,000,0,000
75,BA, Rp288.800,00 ,5,63,56,16,73,0,009,0,019,0,087,0,077,0,035
76,BB, Rp161.666,67 ,3,46,680,449,72,0,005,0,010,0,063,0,934,0,930
77,BC, Rp170.000,00 ,1,16,0,0,00,0,005,0,000,0,022,0,000,0,000
78,BD, Rp380.000,00 ,1,19,0,0,00,0,012,0,000,0,026,0,000,0,000
79,BH, Rp158.571,43 ,7,256,257,25,33,0,005,0,029,0,353,0,353,0,052
80,BHM, Rp170.000,00 ,1,320,0,0,00,0,005,0,000,0,441,0,000,0,000
81,BIHAF, Rp380.000,00 ,1,187,0,0,00,0,012,0,000,0,258,0,000,0,000
82,BL, Rp1.842.500,00 ,4,411,181,36,17,0,061,0,014,0,567,0,249,0,075
83,BM, Rp90.000,00 ,1,566,0,0,00,0,002,0,000,0,781,0,000,0,000
84,BR, Rp90.000,00 ,2,49,28,0,00,0,002,0,005,0,068,0,038,0,000
85,BS, Rp265.714,29 ,7,89,593,212,05,0,008,0,029,0,123,0,815,0,438
86,BYNA, Rp50.000,00 ,1,325,0,0,00,0,001,0,000,0,448,0,000,0,000
87,BZ, Rp253.333,33 ,3,388,96,67,88,0,008,0,010,0,535,0,132,0,140
